file,key,unprocessed,processed
MIT_220,languageknown,"Tamil , Bengali , English","Tamil, Bengali, English"
MIT_220,place,Raipur .,Raipur
VIT_842,permanentaddress,"H.NO. Fab , Dyal Nagar , Sintna 896636","H.NO. Fab, Dyal Nagar, Sintna 896636"
VIT_842,AlternateNo,8 950 5 73858,8950573858
VIT_842,presentaddress,"H.NO. 92.T , Muruvilla Nager , Nagpur-386068","H.NO. 92.T, Muruvilla Nager, Nagpur-386068"
VIT_842,contactnumber,"8,56,65,28,233",8566528233
VIT_842,gender,Female .,Female
VIT_842,referencescmob2,Rush-Wagle - 7 11 7.350 4 .,Rush-Wagle - 7 11 7350 4 
VIT_842,candidatename,Granima Keele,Granima Keele
VIT_842,referencescmob1,I.Shenui Than - 7/8.583 &350,Ishenui Than - 78583350
VIT_842,languageknown,English Council . Hindi,"English, Council, Hindi"
VIT_842,experience1,& Years at Regie Inc.,Years at Regie Inc
VIT_842,Fatherhusbandname,Tai Ruele,Tai Ruele
VIT_842,experience,3 Years at Vasa Vohra and Khadri,3 Years at Vasa Vohra and Khadri
VIT_842,qualification,firachuate,Firachuate
VIT_842,Dateofbirth,6 ft ( 19.4 .,6/19/4
VIT_842,aadhaarcard,FO204 7000000,2047000000
VIT_842,date,0.5/01 ) 202 3,0/5/01/202/3
VIT_842,nationality,Pudieux,Pudieux
VIT_842,bloodgroup,0 .t .,O+
VIT_842,place,Arsenal,Arsenal
VIT_842,maritalstatus,Marrieel,Married
TCE_1419,referencescmob1,Aadhya Revi - 8713842824 .,Aadhya Revi - 8713842824
TCE_1419,referencescmob2,Southak Walia - 7109 37705,Southak Walia - 710937705
TCE_1419,experience,"I year O. BHEL , U.C.",I year O BHEL UC
TCE_1419,permanentaddress,"H. No : 95 , Mittel Chovsk , Moraglabad :","H. No 95, Mittel Chovsk, Moraglabad"
TCE_1419,languageknown,"Telugu , Malayalam .","Telugu, Malayalam"
TCE_1419,contactnumber,8500802087 .,8500802087
TCE_1419,experience1,5 years . O. Mani Megan K. Patan .,5 years O Mani Megan K Patan
TCE_1419,Dateofbirth,12 ( 1978 .,Dec-78
TCE_1419,presentaddress,"24129 , Dutte Road , Bhubanshwar 64972q","24129, Dutte Road, Bhubanshwar 64972q"
TCE_1419,nationality,Indian .,Indian
TCE_1419,place,Hunderabad .,Hyderabad
TCE_1419,candidatename,Mughalha Bohemdari .,Mughalha Bohemdari
TCE_1419,bloodgroup,AB the,AB+
TCE_1419,Fatherhusbandname,Simon Bhandari .,Simon Bhandari
TCE_1419,AlternateNo,77699687 7783 .,7.76997E+11
TCE_1419,date,"# ""11 ( 02 ( 2024 .",11-02-2024
TCE_1419,gender,Female .,Female
TCE_1419,qualification,19th Pars .,19th Pars
TCE_1419,maritalstatus,Married .,Married
TCE_1467,referencescmob1,Ekte Ganesan - F08672848 ) .,Ekte Ganesan - 08672848
TCE_1467,experience,6 years at Sarma Ranganathan and Sarkiar,6 years at Sarma Ranganathan and Sarkiar
TCE_1467,permanentaddress,"818 , Chandran Nagar , Tade palligudem 58 445 7","818, Chandran Nagar, Tade Palligudem 58 445 7"
TCE_1467,contactnumber,# 49965761 .,49965761
TCE_1467,AlternateNo,9465291405,9465291405
TCE_1467,presentaddress,"441415 , Parsa Marg , Baranagar - 759824","441415, Parsa Marg, Baranagar - 759824"
TCE_1467,languageknown,"Gujarati , Hindi , English","Gujarati, Hindi, English"
TCE_1467,candidatename,Tanmayi Taneja,Tanmayi Taneja
TCE_1467,experience1,10 years at Dubey Inc.,10 years at Dubey Inc
TCE_1467,Dateofbirth,"6111 1,2002 .",6111/1/2002
TCE_1467,nationality,Indian .,Indian
TCE_1467,place,Lucknow .,Lucknow
TCE_1467,qualification,10th pass .,10th Pass
TCE_1467,referencescmob2,"Adya Banerjee - 858,54,001",Adya Banerjee - 85854001
TCE_1467,maritalstatus,single .,Single
TCE_1467,date,to ( 24 (2024 .,24/2024
TCE_1467,gender,Female .,Female
TCE_1467,Fatherhusbandname,Nittash Taneja .,Nittash Taneja
TCE_1467,bloodgroup,of,O
TCE_1030,permanentaddress,HisNojshipBusah Road . Sangli -,Hisnojshipbusah Road . Sangli
TCE_1030,experience,2 years at Raval - Yohannon Saney,2 years at Raval - Yohannon Saney
TCE_1030,contactnumber,1162618548 .,1162618548
TCE_1030,presentaddress,"39 )-118 , Bath 2Pla. Gangton-468093","39 -118, Bath 2Pla. Gangton-468093"
TCE_1030,experience1,a years at Sawhagy .,a years at Sawhagy
TCE_1030,referencescmob1,Ati Sodhi - 9345968218,Ati Sodhi - 9345968218
TCE_1030,nationality,Indian,Indian
TCE_1030,referencescmob2,Raghav Ramachandran - 40000667a-,Raghav Ramachandran - 40000667a-
TCE_1030,gender,Female .,Female
TCE_1030,AlternateNo,961367333 ) .,961367333
TCE_1030,candidatename,Hural Weaver .,Hural Weaver
TCE_1030,Dateofbirth,5 ( 1968 .,May-68
TCE_1030,Fatherhusbandname,cleartanna .,Cleartanna
TCE_1030,place,Aizawa !,Aizawl
TCE_1030,qualification,post - Graduate,Post-Graduate
TCE_1030,languageknown,Gujauff : Herdi . Malayalam .,"Gujauff, Hindi, Malayalam"
TCE_1030,bloodgroup,AB -,AB-
TCE_1030,maritalstatus,mauceded .,Mauceded
TCE_1030,date,02 (21 (2023 .,2/21/2023
VIT_883,maritalstatus,Married .,Married
VIT_883,gender,Female,Female
VIT_883,experience,4 years at Basak group .,4 years at Basak group
VIT_883,qualification,ph. D .,PhD
VIT_883,permanentaddress,"12/801 , Gamma Road , Korghiigogles ,","12/801, Gamma Road, Korghiigogles"
VIT_883,languageknown,"Pamil , Telegram","Tamil, Telegram"
VIT_883,nationality,Indian,Indian
VIT_883,referencescmob2,"Neta Igrewal - 9 86436,744",Neta Igrewal - 986436744
VIT_883,presentaddress,"15/623 , Ramachangapat-Naquero","15/623, Ramachangapat-naquero"
VIT_883,AlternateNo,8688 793 7.3 .,868879373
VIT_883,candidatename,vtechal Vanty,Vtechal Vanty
VIT_883,contactnumber,8095302803,8095302803
VIT_883,bloodgroup,AB -,AB-
VIT_883,experience1,5 years at Mitch Pic.,5 years at Mitch Pic
VIT_883,referencescmob1,Damefanti Thaker 840853141,DamefantiThaker - 840853141
VIT_883,place,Taipur .,Taipur
VIT_883,Fatherhusbandname,Falan Varty,Falan Varty
VIT_883,date,08 (03 ( 2025 .,08-03-2025
VIT_883,Dateofbirth,""" U/IO (1945",1945
VIT_883,aadhaarcard,3.30414E+11,3.30414E+11
VIT_776,permanentaddress,"H.NO. 696 , Raj Path , Mangalore 96.2762","H.NO. 696, Raj Path, Mangalore 96.2762"
VIT_776,AlternateNo,85644 11149 .,8564411149
VIT_776,gender,male .,Male
VIT_776,nationality,Indian .,Indian
VIT_776,candidatename,Qabil Patil .,Qabil Patil
VIT_776,presentaddress,"H.NO.08 , Pillay Gianj , silver-188598","H.NO.08, Pillay Gianj, Silver-188598"
VIT_776,languageknown,"English , Marathi .","English, Marathi"
VIT_776,referencescmob1,wriddhush Sachdeva - 8798173 15,Wriddhush Sachdeva - 879817315
VIT_776,contactnumber,9613196457,9613196457
VIT_776,referencescmob2,Fitar Ghosh - 9805467008,Fitar Ghosh - 9805467008
VIT_776,experience,8 Years at Ranganathan - Dani,8 Years at Ranganathan - Dani
VIT_776,date,06/20 ( 2022 .,6/20/2022
VIT_776,Fatherhusbandname,Yash Patil .,Yash Patil
VIT_776,experience1,7 Years at Arya Naidu and Italian,7 Years at Arya Naidu and Italian
VIT_776,bloodgroup,0 r .,O
VIT_776,place,Kolkata .,Kolkata
VIT_776,Dateofbirth,6/3 ( 1976 .,06-03-1976
VIT_776,pancard,QASI AGILDM.,QASIA61LDM
VIT_776,maritalstatus,married .,Married
VIT_776,qualification,10th pass .,10th Pass
VIT_868,gender,Female .,Female
VIT_868,maritalstatus,Married .,Married
VIT_868,experience,5 years at Saha-kala .,5 years at Saha-kala
VIT_868,AlternateNo,18010 94509 .,1801094509
VIT_868,contactnumber,862 5897979 .,8625897979
VIT_868,languageknown,"Hindi , Kannada , English , Bengali","Hindi, Kannada, English, Bengali"
VIT_868,qualification,Diploma .,Diploma
VIT_868,presentaddress,"843 , Singh Nager , Ozhukarai 842181","843, Singh Nager, Ozhukarai 842181"
VIT_868,permanentaddress,"14/42 , Church , Vasai-virar 26-9/4 .","14/42, Church, Vasai-virar 26-9/4"
VIT_868,referencescmob1,Adimanyu Kalla - 1925150 bbib,Adimanyu Kalla - 1925150
VIT_868,referencescmob2,Roman Kaka - 1067182557,Roman Kaka - 1067182557
VIT_868,bloodgroup,AB-t .,AB-+
VIT_868,experience1,8 years at Kapur Boras and Borra,8 years at Kapur Boras and Borra
VIT_868,candidatename,Ira whose,Ira Whose
VIT_868,nationality,Indian .,Indian
VIT_868,Dateofbirth,12/18 ( 1992,12/18/1992
VIT_868,place,parage .,Parage
VIT_868,date,"' 08 ( 04"" ( 2022 .",08-04-2022
VIT_868,pancard,VfJWFF4273P.,VFJWFF4273P
VIT_868,Fatherhusbandname,Tanveer whose,Tanveer Whose
MIT_530,permanentaddress,"Zacharia , Nellare 054245 .","Zacharia, Nellare 054245"
MIT_530,contactnumber,9911917393,9911917393
MIT_530,presentaddress,"51 Varma Zila , Ameinlan Gnoagui","51 Varma Zila, Ameinlan Gnoagui"
MIT_530,languageknown,"Malapalam , Lehugu , Benqali , Samil .","Malayalam, Telugu, Bengali, Tamil"
MIT_530,referencescmob2,"Lekha Barra - 951669-90 ,",Lekha Barra - 951669-90 
MIT_530,gender,male .,Male
MIT_530,referencescmob1,Datesh himself - 967408 8975,Datesh Himself - 9674088975
MIT_530,AlternateNo,8975 59 1019 .,8975591019
MIT_530,experience1,1 years at Pillai One,1 years at Pillai One
MIT_530,place,thiruvandhoepwom .,Thiruvandhoepwom
MIT_530,nationality,Indian,Indian
MIT_530,aadhaarcard,455111000000 .,4.55111E+11
MIT_530,Fatherhusbandname,faras Madan,Faras Madan
MIT_530,date,1/09 ( 2023 .,01-09-2023
MIT_530,experience,I yearman at Balasubramanian Dugar and,I yearman at Balasubramanian Dugar and
MIT_530,qualification,PHD .,PhD
MIT_530,Dateofbirth,"""11 ( lb/ 2004",Nov-04
MIT_530,bloodgroup,at,A+
MIT_530,candidatename,Mancir Medan .,Mancir Medan
MIT_530,maritalstatus,Single .,Single
MIT_482,permanentaddress,"26,655 , Bhodti , Morbi 253809 .","26,655, Bhodti, Morbi 253809"
MIT_482,presentaddress,"95.367 , kibe chouote , chapra -297856-","95.367, Kibe Chouote, Chapra -297856"
MIT_482,Fatherhusbandname,Aarnav Sangha,Aarnav Sangha
MIT_482,referencescmob1,Omoja Mital - F022088228 .,Omoja Mital - 022088228
MIT_482,languageknown,"Telugu , Tamil","Telugu, Tamil"
MIT_482,nationality,Indian,Indian
MIT_482,experience,5 years at Vala-sani .,5 years at Vala-sani
MIT_482,date,03 ( 89 ( 2025 .,3/89/2025
MIT_482,referencescmob2,Amaisia solanki - 9089929940,Amaisia Solanki - 9089929940
MIT_482,gender,Female .,Female
MIT_482,maritalstatus,married .,Married
MIT_482,Dateofbirth,2/11 ( 1971 .,02-11-1971
MIT_482,contactnumber,9121552952 .,9121552952
MIT_482,place,chandigarin .,Chandigarh
MIT_482,qualification,12th pass .,12th Pass
MIT_482,candidatename,Vaishnavi Sangha .,Vaishnavi Sangha
MIT_482,AlternateNo,7938364959 .,7938364959
MIT_482,experience1,I leaves at Hans-loyal,I leaves at Hans-loyal
MIT_482,bloodgroup,o t,O+
MIT_482,aadhaarcard,8.52079E+11,8.52079E+11
TCE_1251,candidatename,Warinder Dharr .,Warinder Dharr
TCE_1251,referencescmob1,Nicholas until-7139120339 .,Nicholas Until - 7139120339
TCE_1251,experience,9 years at Deod Varity and Kumvilla,9 years at Deod Varity and Kumvilla
TCE_1251,maritalstatus,married .,Married
TCE_1251,AlternateNo,8389584391 .,8389584391
TCE_1251,contactnumber,7268211919 .,7268211919
TCE_1251,presentaddress,"H.NO 55 , chand , Hosur 12174 .","H.NO 55, chand, Hosur 12174"
TCE_1251,permanentaddress,"36 , Dash path , Nandyal -470237","36, Dash Path, Nandyal -470237"
TCE_1251,languageknown,"Malayalam , Tamil , Bengali","Malayalam, Tamil, Bengali"
TCE_1251,place,Kohima .,Kohima
TCE_1251,nationality,Indian,Indian
TCE_1251,experience1,8 years at La La La Grande and Sathe,8 years at La La La Grande and Sathe
TCE_1251,referencescmob2,Krisha Upadhyay-79469569 .,Krisha Upadhyay - 79469569
TCE_1251,qualification,phD .,PhD
TCE_1251,gender,male .,Male
TCE_1251,Fatherhusbandname,Patrick Dhan .,Patrick Dhan
TCE_1251,date,12 (20 ( 2025 .,12/20/2025
TCE_1251,Dateofbirth,Mar-94,Mar-94
TCE_1251,bloodgroup,0-,O-
MIT_81,pancard,GGVFA 1327P.,GGVFA1327P
MIT_81,gender,Female .,Female
MIT_81,nationality,Indian,Indian
MIT_81,experience1,10 years at Mann Ltd .,10 years at Mann Ltd
MIT_81,presentaddress,"H. Moraji 6 , Kuparudhamanian 6hang , Bang U.","H. Moraji 6, Kuparudhamanian 6hang, Bang U"
MIT_81,candidatename,Aarini Bhatnagar,Aarini Bhatnagar
MIT_81,referencescmob2,Ishwar Golla - 7849433392,Ishwar Golla - 7849433392
MIT_81,contactnumber,82668 48154,8266848154
MIT_81,maritalstatus,single .,Single
MIT_81,qualification,post-Graduate,Post-Graduate
MIT_81,permanentaddress,"82110 , Ramesh Nagan , Farrikhabad","82110, Ramesh Nagan, Farrikhabad"
MIT_81,place,Dehradun .,Dehradun
MIT_81,languageknown,"Gujarati , Malayalam , English","Gujarati, Malayalam, English"
MIT_81,referencescmob1,Timothy Krishnan -7 399181 565,Timothy Krishnan - 7399181565
MIT_81,Fatherhusbandname,Arin Bhatnagar,Arin Bhatnagar
MIT_81,bloodgroup,0-,O-
MIT_81,Dateofbirth,IT 7/2007 .,Jul-07
MIT_81,date,05/28 ( 2025 .,5/28/2025
MIT_81,experience,7 years at Parmar Pic-,7 years at Parmar Pic-
MIT_81,AlternateNo,866 9 5.7.3 .,8669573
MIT_470,permanentaddress,"519 , Banek Nagan Sarna 870841","519, Banek Nagan Sarna 870841"
MIT_470,presentaddress,"safob ' keen Street , Jannpur 37/19.8","Safob Keen Street, Jannpur 37/19.8"
MIT_470,experience,byever at Doctor Menon and Din-,byever at Doctor Menon and Din-
MIT_470,referencescmob1,Ekanhika lad - TU 98069354,Ekanhika Lad - 98069354
MIT_470,gender,Female .,Female
MIT_470,referencescmob2,sai'sahi' - 1009- 400 ) .,saisahi - 1009- 400  
MIT_470,contactnumber,89618 15511 .,8961815511
MIT_470,nationality,Indian,Indian
MIT_470,Fatherhusbandname,Vivaan Chana .,Vivaan Chana
MIT_470,aadhaarcard,"62,99,40,00,000",62994000000
MIT_470,languageknown,"Kannada , English , family think ,","Kannada, English, Tamil, Think"
MIT_470,AlternateNo,T3B2166TO3 .,7382166703
MIT_470,place,Rancke ',Ranchi
MIT_470,maritalstatus,sing le .,Single
MIT_470,date,01 (2 (2025 .,01-02-2025
MIT_470,qualification,post Graduate .,Post-Graduate
MIT_470,Dateofbirth,ater ( each,
MIT_470,candidatename,Zilmil Chana .,Zilmil Chana
MIT_470,experience1,2 years at pathak-Oak,2 years at pathak-Oak
MIT_414,referencescmob2,Victor Mallick - 9328827981,Victor Mallick - 9328827981
MIT_414,place,Beneduru .,Bengaluru
MIT_414,languageknown,"Telugu "" Tamil","Telugu, Tamil"
MIT_414,date,04 (05 ( 20.4 .,04/05/20/4
MIT_414,experience1,6 years at Sama Date and Kala,6 years at Sama Date and Kala
MIT_414,experience,10 years at Sangha - Varkey,10 years at Sangha - Varkey
MIT_414,Dateofbirth,allu ( 1976 .,1976
MIT_414,presentaddress,"H. No.088 , Muni Road , Rampus - 837819","H. No.088, Muni Road, Rampus - 837819"
MIT_414,nationality,Indian,Indian
MIT_414,bloodgroup,AB -,AB-
MIT_414,AlternateNo,80 74944 3/0,8074944310
MIT_414,contactnumber,7 433 733334 .,7433733334
MIT_414,permanentaddress,4a. De. Funagadh Obass .,4a. De. Funagadh Obass
MIT_414,gender,Male .,Male
MIT_414,qualification,Graduate,Graduate
MIT_414,maritalstatus,married .,Married
MIT_414,pancard,IEBKP1718H.,IEBKP1718H
MIT_414,aadhaarcard,48 51.83000000,4.85183E+11
MIT_414,Fatherhusbandname,samuel Mangal .,Samuel Mangal
MIT_414,referencescmob1,Joshua Hora - 9234716741 .,Joshua Hora - 9234716741
MIT_414,candidatename,Samaksh Mangal,Samaksh Mangal
MIT_48,presentaddress,"H. No. 104 , Parsa Chowk , Kota","H. No. 104, Parsa Chowk, Kota"
MIT_48,permanentaddress,"Hirio. 158 , Nair Zila , Ahmedabad","Hirio. 158, Nair Zila, Ahmedabad"
MIT_48,languageknown,"English , Malayalam , Telugu","English, Malayalam, Telugu"
MIT_48,referencescmob1,fajita Gara - T7b25az114,Fajita Gara - 725114
MIT_48,nationality,Indian .,Indian
MIT_48,experience1,8 years at Duke - Ramachandran,8 years at Duke - Ramachandran
MIT_48,experience,4 years rat Loyal and sons .,4 years rat Loyal and sons
MIT_48,qualification,10th pass .,10th Pass
MIT_48,gender,Female .,Female
MIT_48,candidatename,Chaman Merchant .,Chaman Merchant
MIT_48,maritalstatus,married .,Married
MIT_48,date,01 (112 (2023 .,1/112/2023
MIT_48,Fatherhusbandname,Tatin Merchant .,Tatin Merchant
MIT_48,Dateofbirth,4.129 ) 1964 .,4/129/1964
MIT_48,referencescmob2,Amruta Mitra - 8764718642,Amruta Mitra - 8764718642
MIT_48,contactnumber,74 1.5.2.8.2.34 .,741528234
MIT_48,place,Thisurannthapuram .,Thiruvananthapuram
MIT_48,aadhaarcard,"f601,000000",601000000
MIT_48,bloodgroup,Bt .,B+
MIT_48,AlternateNo,7430727710,7430727710
VIT_768,nationality,Indian .,Indian
VIT_768,referencescmob1,vaku )Palla -8707701636 .,Vaku Palla - 8707701636
VIT_768,languageknown,"Malayalam , Hindi English Telugu","Malayalam, Hindi, English, Telugu"
VIT_768,AlternateNo,704 9502655,7049502655
VIT_768,gender,Male .,Male
VIT_768,contactnumber,73 68 55 68 60,7368556860
VIT_768,referencescmob2,Daniel Batta - 8964 90876 ) .,Daniel Batta - 896490876
VIT_768,presentaddress,"36/654 , Perichawk , Karaikudi 7,0539","36/654, Perichawk, Karaikudi 7,0539"
VIT_768,candidatename,Noah moody .,Noah Moody
VIT_768,permanentaddress,90/677 . Naik Zila Rewa - 17th 304,90/677 . Naik Zila Rewa - 17th 304
VIT_768,experience1,5 years at Sunday Dixit and Prasad,5 years at Sunday Dixit and Prasad
VIT_768,Fatherhusbandname,Fara's moody .,Faras Moody
VIT_768,date,"19. 17, 2025",19/17/2025
VIT_768,experience,6 years at to be 1/ c,6 years at to be 1 c
VIT_768,place,chandigarh,Chandigarh
VIT_768,bloodgroup,A ;,A
VIT_768,aadhaarcard,8' 8 1/6000000 .0,8.8116E+11
VIT_768,qualification,p h D .,p h D
VIT_768,Dateofbirth,"3 .7, 1990",03-07-1990
VIT_768,maritalstatus,Married .,Married
TCE_1068,permanentaddress,709046 Navir strand .,709046 Navir Strand
TCE_1068,presentaddress,"65 , More circle , Along automobile .","65, More Circle, Along Automobile"
TCE_1068,referencescmob1,""" Ekansh Choudhury-70.25 ( # 6.5.2 .",Ekansh Choudhury - 7025652
TCE_1068,candidatename,David Aqaansal .,David Aqaansal
TCE_1068,contactnumber,9591 078210 .,9591078210
TCE_1068,languageknown,"Kannad , Marathi .","Kannada, Marathi"
TCE_1068,qualification,19th Pass .,19th Pass
TCE_1068,date,08. 31.20.2 .,08/31/20/2
TCE_1068,maritalstatus,married .,Married
TCE_1068,place,stillhong .,Shillong
TCE_1068,Fatherhusbandname,Bachittar' Agraeval,Bachittar Agraeval
TCE_1068,referencescmob2,Joshua Joke - 9952.59.3 .3 .,Joshua Joke - 99525933
TCE_1068,AlternateNo,977 1686T12 .,9771686712
TCE_1068,experience1,tricases at Atual Mand and,tricases at Atual Mand and
TCE_1068,experience,6 years at Kallarine .,6 years at Kallarine
TCE_1068,Dateofbirth,4.8-1975,04-08-1975
TCE_1068,bloodgroup,at,A+
VIT_949,referencescmob1,AADI PARMAR - 768 4.946817,AADI PARMAR - 7684946817
VIT_949,permanentaddress,"HANDORSA , 13, ADAIN PATH ,","HANDORSA, 13, ADAIN PATH"
VIT_949,referencescmob2,ADINETA HAYRE-8243601399,ADINETA HAYRE - 8243601399
VIT_949,candidatename,Yashasvi Srinivasan,Yashasvi Srinivasan
VIT_949,languageknown,"Bengali , Malayalam , Telugu","Bengali, Malayalam, Telugu"
VIT_949,AlternateNo,8226 27 4368 .,8226274368
VIT_949,presentaddress,"H.NO.505 , PALLA , UNNAO-168068","H.NO.505, PALLA, UNNAO-168068"
VIT_949,experience,4 years at Devi Inc.,4 years at Devi Inc
VIT_949,contactnumber,89 89 048358,8989048358
VIT_949,nationality,Indian,Indian
VIT_949,experience1,8 YEARS AT VAIDYAOUSONS,8 YEARS AT VAIDYAOUSONS
VIT_949,place,CHAND IGHARIH .,Chandigarh
VIT_949,bloodgroup,at,A+
VIT_949,date,10 . Ily . 2 5,10-02-2005
VIT_949,gender,Fem Ale .,Female
VIT_949,Dateofbirth,5/26 (1967 .,5/26/1967
VIT_949,aadhaarcard,"7,300 09000000",7.30009E+11
VIT_949,Fatherhusbandname,Ekalinga Srinivasan,Ekalinga Srinivasan
VIT_949,qualification,10th pass .,10th Pass
VIT_949,maritalstatus,MARRIED .,Married
MIT_617,referencescmob1,Vyanjana Merchant - 93147951/,Vyanjana Merchant - 93147951
MIT_617,permanentaddress,"078 , Grade Circle , Singrauli -119214 .","078, Grade Circle, Singrauli -119214"
MIT_617,gender,Female .,Female
MIT_617,presentaddress,"62 ) 917 , Metal zita , Baranagar 839525","62 917, Metal Zita, Baranagar 839525"
MIT_617,nationality,Indian .,Indian
MIT_617,languageknown,"Tamil , Marathi .","Tamil, Marathi"
MIT_617,contactnumber,7 305358090,7305358090
MIT_617,AlternateNo,8573856038 .,8573856038
MIT_617,candidatename,Wedhika Merchant,Wedhika Merchant
MIT_617,referencescmob2,Ekoja Dinit -98366495,Ekoja Dinit - 98366495
MIT_617,bloodgroup,ABt .,AB+
MIT_617,date,11 ( 01/2024 .,11-01-2024
MIT_617,Fatherhusbandname,Patrick Merchant .,Patrick Merchant
MIT_617,place,Thirwananthapman .,Thirwananthapman
MIT_617,maritalstatus,Married .,Married
MIT_617,Dateofbirth,1/25 ) 1992 .,1/25/1992
MIT_617,experience1,1 years at Bal-Common,1 years at Bal-Common
MIT_617,experience,7 years at Oza-Prabhakov,7 years at Oza-Prabhakov
MIT_617,aadhaarcard,"52/594,000000",5.21594E+11
MIT_617,qualification,j2th pass .,12th Pass
MIT_617,pancard,JZVLH 39092 .,JZVLH3909Z
VIT_765,gender,Female .,Female
VIT_765,maritalstatus,married .,Married
VIT_765,languageknown,"Telugu , Malayalam , Hindi","Telugu, Malayalam, Hindi"
VIT_765,permanentaddress,"a b ) , Iyer Nagar , Jaipur - 736891","a b, Iyer Nagar, Jaipur - 736891"
VIT_765,referencescmob2,Imarian Taneja - 9661098 9 1 b.,Imarian Taneja - 966109891
VIT_765,experience,2years at Suresh Modi and Shah,2years at Suresh Modi and Shah
VIT_765,candidatename,Amita Chander,Amita Chander
VIT_765,presentaddress,"OH , Baral , Berhampore - 9,5.59","OH, Baral, Berhampore - 9,5.59"
VIT_765,qualification,PhD .,PhD
VIT_765,bloodgroup,A-,A-
VIT_765,contactnumber,8192343198,8192343198
VIT_765,nationality,indican .,Indian
VIT_765,date,04 ( 21 ( 2025 .,4/21/2025
VIT_765,place,Dehaorachun .,Dehaorachun
VIT_765,AlternateNo,8 522 568276 .,8522568276
VIT_765,experience1,4 years at Magpur - Surri-,4 years at Magpur - Surri-
VIT_765,referencescmob1,zilmil Bahri - 857318465 .,Zilmil Bahri - 857318465
VIT_765,Fatherhusbandname,brijesh chander .,Brijesh Chander
VIT_765,Dateofbirth,8 ( 9 ) 1976 .,08-09-1976
VIT_765,aadhaarcard,"4081 4,2,000,000 .0",4.08142E+12
