,folder,file,text
77,MIT_101,AlternateNo,"99556 55,50"
78,MIT_101,place,Bengalum .
79,MIT_101,candidatename,Advick Moody .
80,MIT_101,referencescmob1,chotrush Shratt - 96752/6530 .
81,VIT_778,nationality,Indian .
82,VIT_778,Dateofbirth,9/24 ( 1964 .
83,VIT_778,Fatherhusbandname,Chanakya Behl .
84,VIT_778,permanentaddress,"22/42 , Taylor Path , Hospet-774575 ."
85,VIT_778,experience,5 years at Bhat Merchant and Agorwal
86,VIT_778,date,to3/90 (2022 .
87,VIT_778,presentaddress,"26jol , Sekhon Circle , Fatchpur-334225"
88,VIT_778,gender,female .
89,VIT_778,bloodgroup,ot
90,VIT_778,experience1,I years at Karpe Upadhya and Krishna
91,VIT_778,qualification,Diploma .
92,VIT_778,languageknown,"Malayalam , English , Hindi , Tamil"
93,VIT_778,aadhaarcard,7874lbs000000 .0
94,VIT_778,referencescmob2,Rachit Chander - 9206419266
95,VIT_778,pancard,VOX DB450P .
96,VIT_778,maritalstatus,Married .
97,VIT_778,contactnumber,8210 355 798 .
98,VIT_778,AlternateNo,84107 02644 .
99,VIT_778,place,Ranchi .
100,VIT_778,candidatename,Ekanta Behl .
101,VIT_778,referencescmob1,nitesh chhabra - 9683345928
102,MIT_587,nationality,Indian .
103,MIT_587,Dateofbirth,10/15/2006 .
104,MIT_587,Fatherhusbandname,Ronith Bakshi .
105,MIT_587,permanentaddress,"H. No. 52 , Bhakta , Nagpur -600011"
106,MIT_587,experience,9 years at Guha Prabhakar and Loll
107,MIT_587,date,or lobby 2022
108,MIT_587,presentaddress,"H. No. 145 , Sunday North , Ashmednagan"
109,MIT_587,gender,Male .
110,MIT_587,bloodgroup,B. t .
111,MIT_587,experience1,5 years at Mittal-Rattan .
112,MIT_587,qualification,Ph D .
113,MIT_587,languageknown,"Kannada , Hindi , Malayalam"
114,MIT_587,aadhaarcard,b57.39200000
115,MIT_587,referencescmob2,Ethan Sagan-982-557-30
116,MIT_587,maritalstatus,single .
117,MIT_587,contactnumber,8965IM0584 .
118,MIT_587,AlternateNo,80 61518 757 .
119,MIT_587,place,Grangtok .
120,MIT_587,candidatename,Omkaal Bakshi .
121,MIT_587,referencescmob1,Fiyaz Naxain 1948-9166-7
122,MIT_52,nationality,Indian .
123,MIT_52,Dateofbirth,8 ( 19 ( 1984 .
124,MIT_52,Fatherhusbandname,Airik Chandry .
125,MIT_52,permanentaddress,"H. No. ie. Dhalinal Path , Aungaon"
126,MIT_52,experience,10 years at Hedge - Shankar .
127,MIT_52,date,or (29 ( 2025 .
128,MIT_52,presentaddress,"69169 , Pall Zila , Buhampou - 499124"
129,MIT_52,gender,Female .
130,MIT_52,bloodgroup,Ar
131,MIT_52,experience1,2 years at Lais Ltd .
132,MIT_52,qualification,12th Pass .
133,MIT_52,languageknown,English . Telugu .
134,MIT_52,aadhaarcard,48 (583000000
135,MIT_52,referencescmob2,Logan Groves - 8584 )64234 .
136,MIT_52,maritalstatus,Mounied .
137,MIT_52,contactnumber,9251995/15 .
138,MIT_52,AlternateNo,9988264876 .
139,MIT_52,place,Orkendhinagar .
140,MIT_52,candidatename,Bhavika Chaudry .
141,MIT_52,referencescmob1,Ojas Semi - 977326248 1 .
142,MIT_482,nationality,Indian .
143,MIT_482,Dateofbirth,2/11 ( 1971 .
144,MIT_482,Fatherhusbandname,Aarnav Sangha .
145,MIT_482,permanentaddress,"26,655 , Bhodti , Morbi 253809 ."
146,MIT_482,experience,5 years at Vala-sani
147,MIT_482,date,03 ( 29 ( 2025 .
148,MIT_482,presentaddress,"95.367 , Kilae chouke , chapra-297356 -"
149,MIT_482,gender,Female .
150,MIT_482,bloodgroup,lot
151,MIT_482,experience1,I leaves at Hans-Loyal .
152,MIT_482,qualification,12th pass .
153,MIT_482,languageknown,"Telugu , Tamil ."
154,MIT_482,aadhaarcard,852079000000
155,MIT_482,referencescmob2,Amaisia solanki - 9089929940
156,MIT_482,maritalstatus,I married
157,MIT_482,contactnumber,9121552952 .
158,MIT_482,AlternateNo,7938364959 .
159,MIT_482,place,chandigarh .
160,MIT_482,candidatename,Vaishnaki Sangha
161,MIT_482,referencescmob1,Omoja Mital - 7022088228
162,MIT_565,nationality,Indian .
163,MIT_565,Dateofbirth,7/31 1982 .
164,MIT_565,Fatherhusbandname,wreddish mani .
165,MIT_565,permanentaddress,"87/8b , Hole Nagour , Berhampur-213170"
166,MIT_565,experience,2 year 8 at Chhabra . Inc.
167,MIT_565,date,09 04 ( 2023 .
168,MIT_565,presentaddress,"M. No. H. Ahuga circle , Shahjahanpur"
169,MIT_565,gender,male .
170,MIT_565,bloodgroup,abt .
171,MIT_565,experience1,I years at Venkatesh Anne and Kunda
172,MIT_565,qualification,10th pass .
173,MIT_565,languageknown,"Hindi , English"
174,MIT_565,aadhaarcard,"81 336,00000"
175,MIT_565,referencescmob2,Southvik Deep -9578585219 .
176,MIT_565,maritalstatus,single .
177,MIT_565,contactnumber,7713 4.8750 .
178,MIT_565,AlternateNo,999 6282276 .
179,MIT_565,place,Thiswananthapuram
180,MIT_565,candidatename,Om. Mani .
181,MIT_565,referencescmob1,Eshana Rattan - 7228373364
182,TCE_1368,nationality,Indian .
183,TCE_1368,Dateofbirth,to last 1963 .
184,TCE_1368,Fatherhusbandname,""" Foochan Mannan ."
185,TCE_1368,permanentaddress,"594 , Dhalimal Zila , Bangalore-567453"
186,TCE_1368,experience,2 years at Oommen and some
187,TCE_1368,date,orfirst 2023 .
188,TCE_1368,presentaddress,"H. No. 1997 , Singhal Nagar , Tedapalliguden"
189,TCE_1368,gender,Female .
190,TCE_1368,bloodgroup,ove
191,TCE_1368,experience1,I year at . Dutch Group
192,TCE_1368,qualification,diploma .
193,TCE_1368,languageknown,"Tarnil , English , trade ."
194,TCE_1368,referencescmob2,Zetaan Dugal -7854176899 .
195,TCE_1368,maritalstatus,Married .
196,TCE_1368,contactnumber,944 4064 514 .
197,TCE_1368,AlternateNo,86 4.5.306969 .
198,TCE_1368,place,Mumbai
199,TCE_1368,candidatename,""" Washi Mannan ."
200,TCE_1368,referencescmob1,Vrighti Banik - 950402056 )
201,TCE_1047,nationality,Indian .
202,TCE_1047,Dateofbirth,2/22 ( 1995 .
203,TCE_1047,Fatherhusbandname,Jekaan Mani .
204,TCE_1047,permanentaddress,"06 , Doshi circle , Nandyal 575610"
205,TCE_1047,experience,6 years at Kashyap sandal Q yenkatesh
206,TCE_1047,date,"04 (071,2003 ."
207,TCE_1047,presentaddress,"H.NO-30 , Handa , Kulki-215173"
208,TCE_1047,gender,nale .
209,TCE_1047,bloodgroup,A.
210,TCE_1047,experience1,8 years at Datta LLC
211,TCE_1047,qualification,Diploma .
212,TCE_1047,languageknown,"Tamil , Kannada ."
213,TCE_1047,referencescmob2,Animal Gaba - 86077 (604 .
214,TCE_1047,maritalstatus,Married .
215,TCE_1047,contactnumber,79347 25439
216,TCE_1047,AlternateNo,8.749 89502
217,TCE_1047,place,Brangtok .
218,TCE_1047,candidatename,Utkarsh Mani .
219,TCE_1047,referencescmob1,Farai Barrad - 89613 86273
220,MIT_233,nationality,Indian .
221,MIT_233,Dateofbirth,9/29 ( 1963 .
222,MIT_233,Fatherhusbandname,Azaan Saha .
223,MIT_233,permanentaddress,"H.NO. 1/2 , Greenal zila , Gurdivada 20357 ,"
224,MIT_233,experience,4 year at Thaker and Sons .
225,MIT_233,date,10/19 ( 2025 .
226,MIT_233,presentaddress,"HONO.93 , Root circle , Delhi-485157"
227,MIT_233,gender,Female .
228,MIT_233,bloodgroup,Abt .
229,MIT_233,experience1,7 year at Luke chacko and opera
230,MIT_233,qualification,Post-Graduate .
231,MIT_233,languageknown,"Kannada , Marathi , malayalam , Bengali"
232,MIT_233,aadhaarcard,223696000000
233,MIT_233,referencescmob2,Dayita Bena - 9780203652
234,MIT_233,maritalstatus,single .
235,MIT_233,contactnumber,9565864482
236,MIT_233,AlternateNo,728898915 .
237,MIT_233,place,Kavaratti .
238,MIT_233,candidatename,Tamanna Saha .
239,MIT_233,referencescmob1,Darika Halder-9020997208
240,TCE_1073,nationality,Indian .
241,TCE_1073,Dateofbirth,614 ( 2003 .
242,TCE_1073,Fatherhusbandname,Pshoun Dhaliwal
243,TCE_1073,permanentaddress,"57, Sarkas , Road , British 1815645"
244,TCE_1073,experience,5 years at Subramaniam - Pau
245,TCE_1073,date,""" 1 (23 ) 20-24 ."
246,TCE_1073,presentaddress,"85 , Grewal Ganj , Bhiwandi Suzlesg ."
247,TCE_1073,gender,Male .
248,TCE_1073,bloodgroup,at
249,TCE_1073,experience1,2 years at Swamp - Son :
250,TCE_1073,qualification,post-graduate .
251,TCE_1073,languageknown,"Kannada , English , Gujarati , Telugu"
252,TCE_1073,referencescmob2,Saumya Khurama - 8992602893 .
253,TCE_1073,maritalstatus,single .
254,TCE_1073,contactnumber,860-77bbbb36 .
255,TCE_1073,AlternateNo,77 5 (77948 ) .
256,TCE_1073,place,Bhopal
257,TCE_1073,candidatename,Oropal Phaliwal .
258,TCE_1073,referencescmob1,Premuel Malhotra - 80093b2234 .
259,TCE_1390,nationality,Indian
260,TCE_1390,Dateofbirth,"5 ( 3,2000 ."
261,TCE_1390,Fatherhusbandname,Chatura Maclan
262,TCE_1390,permanentaddress,"19/11 , Sindw , Batuinala 4.3108 ."
263,TCE_1390,experience,6 years at Marie Ltd .
264,TCE_1390,date,"""3 ( 2 ."
265,TCE_1390,presentaddress,77 ) 1993 . Bain Circle . Sultan pur majra .
266,TCE_1390,gender,Male .
267,TCE_1390,bloodgroup,0-
268,TCE_1390,experience1,"3 years at Savant - Sami"""
269,TCE_1390,qualification,cloth pass .
270,TCE_1390,languageknown,"English , Malayalam , Kannada , Bengali"
271,TCE_1390,referencescmob2,hedant Sami - 8 400698 3-5
272,TCE_1390,maritalstatus,married .
273,TCE_1390,contactnumber,207772976 ) .
274,TCE_1390,AlternateNo,a bitaatuous .
275,TCE_1390,place,Dehraelum .
276,TCE_1390,candidatename,Anthony Macdan .
277,TCE_1390,referencescmob1,Oscale Sures - 95050779 (
278,TCE_1039,nationality,Phelian .
279,TCE_1039,Dateofbirth,# 29 ( 1986 .
280,TCE_1039,Fatherhusbandname,Ekavin Sachdeuca .
281,TCE_1039,permanentaddress,"286 , Uppal Road , Arkakulam 861462 ."
282,TCE_1039,experience,Express at Sangha-yaadaw .
283,TCE_1039,date,12 (18 ( 2020-
284,TCE_1039,presentaddress,"63frib , postal mang , Tadi patti 23A4923 ."
285,TCE_1039,gender,Female .
286,TCE_1039,bloodgroup,abt .
287,TCE_1039,experience1,Byears at Pathakmann and Munothy
288,TCE_1039,qualification,diploma .
289,TCE_1039,languageknown,"Madayalam , Manathi , Louisiana"
290,TCE_1039,referencescmob2,Ponagan Prasad - 76835/9493 .
291,TCE_1039,maritalstatus,manned .
292,TCE_1039,contactnumber,9.89655359
293,TCE_1039,AlternateNo,7034993400 .
294,TCE_1039,place,Kohima
295,TCE_1039,candidatename,Rajata Sachdova .
296,TCE_1039,referencescmob1,Nether Kamdan-90558 T1533 .
297,TCE_1465,nationality,Indian .
298,TCE_1465,Dateofbirth,4 ) in (1998 .
299,TCE_1465,Fatherhusbandname,Hitesh Surra
300,TCE_1465,permanentaddress,"36,059 Divan Chawk , Hospe"
301,TCE_1465,experience,6 years at Kando
302,TCE_1465,date,02 ( 2013 .
303,TCE_1465,presentaddress,"841660 , Bal , Bathinda-490333"
304,TCE_1465,gender,Female
305,TCE_1465,bloodgroup,# Far
306,TCE_1465,experience1,4 years at Honda . Aurora
307,TCE_1465,qualification,( Post-Graduate
308,TCE_1465,languageknown,"Kannada , Tamil"
309,TCE_1465,referencescmob2,Tagrati Wali-902624075
310,TCE_1465,maritalstatus,married .
311,TCE_1465,contactnumber,749 11 04458
312,TCE_1465,place,Delhi .
313,TCE_1465,candidatename,Daksha Scera .
314,TCE_1465,referencescmob1,"Wazir Thakkar- 8,00057,049 ."
315,TCE_1266,nationality,Indian
316,TCE_1266,Dateofbirth,8 ( 05 ( 1983 .
317,TCE_1266,Fatherhusbandname,Mason Chowdhury
318,TCE_1266,permanentaddress,"H.NO : 15 , Bhavasar Street ,"
319,TCE_1266,experience,9 years at Bose Plc.
320,TCE_1266,date,08 ( 11 ( 2025 .
321,TCE_1266,presentaddress,"143' sonipade - 4.26, 89 ."
322,TCE_1266,gender,female .
323,TCE_1266,bloodgroup,0 #
324,TCE_1266,experience1,3 years at Srinivasan Ple-
325,TCE_1266,qualification,Diploma .
326,TCE_1266,languageknown,"Gumajati , Marathi , Huischi , Malayalam"
327,TCE_1266,referencescmob2,Yashasi Sawkney - 86 357794029
328,TCE_1266,maritalstatus,Married .
329,TCE_1266,contactnumber,82.5.2.2.237 .
330,TCE_1266,AlternateNo,"955 lb 4/820,000 ."
331,TCE_1266,place,Hyder Abad
332,TCE_1266,candidatename,Sanya Chowdhury .
333,TCE_1266,referencescmob1,Balvan Keer - 9bupp 8013 b7 .
334,TCE_1174,nationality,Indian
335,TCE_1174,Dateofbirth,10 ( 1978 .
336,TCE_1174,Fatherhusbandname,diram kaul .
337,TCE_1174,permanentaddress,"Hazaribagh than circle ,"
338,TCE_1174,experience,I years at Audhu' Onrovers
339,TCE_1174,date,12704 ( 2024 .
340,TCE_1174,presentaddress,Hano'siest-shift-3304-4 .
341,TCE_1174,gender,female .
342,TCE_1174,bloodgroup,AB -
343,TCE_1174,experience1,3 years at Saha-Issac-
344,TCE_1174,qualification,12th pass .
345,TCE_1174,languageknown,"Hindi's Telugu , Bengali , Gujarati"
346,TCE_1174,referencescmob2,Ansh Korean - 8 37039942 .
347,TCE_1174,maritalstatus,turn old .
348,TCE_1174,contactnumber,94 68 68155
349,TCE_1174,AlternateNo,93 9.8688G.
350,TCE_1174,place,chandigarh
351,TCE_1174,candidatename,Sara Kaul .
352,TCE_1174,referencescmob1,Adlya. Apte-930073907 : .
353,MIT_274,nationality,Indian
354,MIT_274,Dateofbirth,16/811963 .
355,MIT_274,Fatherhusbandname,Owinder Talk
356,MIT_274,permanentaddress,"11 , Rail Path , Madhyangram 226602"
357,MIT_274,experience,5 years at Sani Buck and Selgal
358,MIT_274,date,08 (26 (2023 .
359,MIT_274,presentaddress,"451 15 , Prabbakas Chowle , Dewas 583392"
360,MIT_274,gender,male .
361,MIT_274,bloodgroup,out
362,MIT_274,experience1,10 years at Chakrabadi LLC .
363,MIT_274,qualification,Diplomat .
364,MIT_274,languageknown,"Gujarati , Malayalam ."
365,MIT_274,aadhaarcard,786053000000
366,MIT_274,referencescmob2,Jarmit Atwal -8591526207
367,MIT_274,maritalstatus,I married
368,MIT_274,contactnumber,96949195955
369,MIT_274,AlternateNo,758154674 .
370,MIT_274,place,I Lucknow .
371,MIT_274,candidatename,Azad Takir
372,MIT_274,referencescmob1,Lakshmi Dixit -7899277060 .
373,TCE_1157,nationality,Indian .
374,TCE_1157,Dateofbirth,10/10 ( 1980 .
375,TCE_1157,Fatherhusbandname,Yatan Grupta .
376,TCE_1157,permanentaddress,"HINDICT , Abluwalia chawk ,"
377,TCE_1157,experience,2years at Muni Dugal and Kadakia
378,TCE_1157,date,01 ( 03 ( 2024 .
379,TCE_1157,presentaddress,"66 , Kohle Grang , Udaipur - A11541"
380,TCE_1157,gender,Male .
381,TCE_1157,bloodgroup,Bt .
382,TCE_1157,experience1,a years at Tharkur Ltd .
383,TCE_1157,qualification,Graduate .
384,TCE_1157,languageknown,"Bengali , Hindi"
385,TCE_1157,referencescmob2,Pratyush Samra - 765552698 3
386,TCE_1157,maritalstatus,Married .
387,TCE_1157,contactnumber,"859 ,58 ) ."
388,TCE_1157,AlternateNo,88 3306 9.2 .
389,TCE_1157,place,Gangtok .
390,TCE_1157,candidatename,Yuvaraj Gupta .
391,TCE_1157,referencescmob1,Mekhala Pandit -965767645
392,MIT_200,nationality,Indian
393,MIT_200,Dateofbirth,3 (1966 .
394,MIT_200,Fatherhusbandname,Rohan Johnal .
395,MIT_200,permanentaddress,"4Y39 , was on Nagar . Kadapa 351305"
396,MIT_200,experience,6 years at Bains - Sachdev
397,MIT_200,date,09/15 ( 2024 .
398,MIT_200,presentaddress,66157 . Misna Street . Mangalore
399,MIT_200,gender,Female .
400,MIT_200,bloodgroup,Ab-
401,MIT_200,experience1,I years at Sun Ltd .
402,MIT_200,qualification,Diploma .
403,MIT_200,languageknown,"Kannada , Gujarati , Bengali , Malayalam"
404,MIT_200,aadhaarcard,295208000000 .
405,MIT_200,referencescmob2,Amrita Mahal - 7406194735
406,MIT_200,maritalstatus,Married .
407,MIT_200,contactnumber,7848282991 .
408,MIT_200,AlternateNo,9195488769 .
409,MIT_200,place,shillong .
410,MIT_200,candidatename,Radhika Johnal
411,MIT_200,referencescmob1,Thomas Chacko - 9673-5.9.8 .
412,TCE_1413,Dateofbirth,A ( 27 ( 2005
413,TCE_1413,Fatherhusbandname,Nitesh Khako
414,TCE_1413,permanentaddress,"03,00 , himself Mary , Parihati"
415,TCE_1413,experience,3 years at Kant Ple
416,TCE_1413,date,01 ( 14 ( 2022 .
417,TCE_1413,presentaddress,"Hino , 09 . Data Nagay , Oehanis"
418,TCE_1413,gender,Female .
419,TCE_1413,bloodgroup,bt .
420,TCE_1413,experience1,9 years at Kapur-Gulati
421,TCE_1413,qualification,Gnaquate
422,TCE_1413,languageknown,"English ; Malayalam , Telugu"
423,TCE_1413,referencescmob2,Isaac Taylor - 86343646 4
424,TCE_1413,maritalstatus,single .
425,TCE_1413,contactnumber,"829 50 1,5056 ."
426,TCE_1413,AlternateNo,9076252521 .
427,TCE_1413,place,Ranchi .
428,TCE_1413,candidatename,Qashi Takoko
429,TCE_1413,referencescmob1,Meahama Bhattachanyya -1166709134
430,MIT_110,nationality,Indieva .
431,MIT_110,Dateofbirth,7thaliaas
432,MIT_110,Fatherhusbandname,Ladeshman Mercer
433,MIT_110,permanentaddress,"58 )0 , Dalwensham Street , Dhanbad"
434,MIT_110,experience,4 Years at Sassy - Dalal
435,MIT_110,date,not different .
436,MIT_110,presentaddress,"H. no. 980 , Thaverir zil in , Targalpes ."
437,MIT_110,gender,Maha
438,MIT_110,experience1,"2"" years at their Drgyr."
439,MIT_110,qualification,post-Grachane
440,MIT_110,languageknown,"Gujmati , Telugu ."
441,MIT_110,aadhaarcard,"8k 44,680000bp ."
442,MIT_110,referencescmob2,Rudtahvallen Gvossu396 v66 .
443,MIT_110,maritalstatus,Sing live .
444,MIT_110,contactnumber,"80446,60 bx"
445,MIT_110,AlternateNo,"76,0,5b.267 ."
446,MIT_110,place,Raiipur .
447,MIT_110,candidatename,Godd Margur .
448,MIT_110,referencescmob1,"Dohan Moore ) 55,35540 )8"
449,VIT_921,nationality,Indian .
450,VIT_921,Dateofbirth,"H2I,2001 ."
451,VIT_921,Fatherhusbandname,Heobby Lad .
452,VIT_921,permanentaddress,H. No.01 . M.ofychoukadi 655889
453,VIT_921,experience,2year of Sarma Mishra and
454,VIT_921,date,6 (23 ( 2023 .
455,VIT_921,presentaddress,"33 , Agricultural circuitback COPMAN"
456,VIT_921,gender,Female .
457,VIT_921,bloodgroup,A.BUT
458,VIT_921,experience1,""" Years at Bassak - Bassi"
459,VIT_921,qualification,12th place .
460,VIT_921,languageknown,"Bengali , Tarsil , Guitarate"
461,VIT_921,aadhaarcard,6 10692000000
462,VIT_921,referencescmob2,Hatlica-Deal - 1954-34-25 .
463,VIT_921,maritalstatus,Single .
464,VIT_921,contactnumber,18592 )3/9.
465,VIT_921,AlternateNo,901654.209 ) .
466,VIT_921,place, ( Weignovo .
467,VIT_921,candidatename,Ganga Lad .
468,VIT_921,referencescmob1,Militati Naidur - 9TT341999 is
469,MIT_547,nationality,Indian
470,MIT_547,Dateofbirth,11/ 1995
471,MIT_547,Fatherhusbandname,Fitan Vora .
472,MIT_547,permanentaddress,"37144 . Nanda , Tharfjavou 1353/"
473,MIT_547,experience,4 years at choudhry PLC
474,MIT_547,date,01 (23 (2022 .
475,MIT_547,presentaddress,"H.No. 688 , Jane Path , Bhusawal 678096"
476,MIT_547,gender,male .
477,MIT_547,bloodgroup,Bt .
478,MIT_547,experience1,3 years at Duke and Sons .
479,MIT_547,qualification,Diploma .
480,MIT_547,languageknown,"Maratti , Kannada , Telugu ."
481,MIT_547,aadhaarcard,76187200000
482,MIT_547,referencescmob2,Yahvi Suresh - 760880636 .
483,MIT_547,maritalstatus,Married .
484,MIT_547,contactnumber,7361608588 .
485,MIT_547,AlternateNo,8615783037 .
486,MIT_547,place,chennai .
487,MIT_547,candidatename,Fariq Vora .
488,MIT_547,referencescmob1,Hemangini Narayan - 791662083 .
489,VIT_734,nationality,Indian
490,VIT_734,Dateofbirth,05.07 . 1981 .
491,VIT_734,Fatherhusbandname,Velant Mallyan
492,VIT_734,permanentaddress,"48/10 , Mchand Naggar's,00 28 ."
493,VIT_734,experience,"3 Years at 8inghal Sarkar E , Kala"
494,VIT_734,date,10. b.2025
495,VIT_734,presentaddress,"H. No. 57 , Singh Chovox ,"
496,VIT_734,gender,Male .
497,VIT_734,bloodgroup,A -
498,VIT_734,experience1,1Year at Thakur-Garde .
499,VIT_734,qualification,Diploma .
500,VIT_734,languageknown,"Telugu , Malayalam , Tamil , Beng"
501,VIT_734,aadhaarcard,617 392000000
502,VIT_734,referencescmob2,Alexander Ba'ini - 8908169074
503,VIT_734,maritalstatus,Niaquied .
504,VIT_734,contactnumber,74b14 71822
505,VIT_734,AlternateNo,850 5535292
506,VIT_734,place,DI's pure .
507,VIT_734,candidatename,Nareen Mahnajan
508,VIT_734,referencescmob1,Nimnat Rajagopal - 799034580 .
509,MIT_605,nationality,Indian
510,MIT_605,Dateofbirth,7/27 ( 1982 .
511,MIT_605,Fatherhusbandname,Aadi Bala .
512,MIT_605,permanentaddress,"428 , Khanna Path , Gopalpur"
513,MIT_605,experience,5 Years at Toilor Inc.
514,MIT_605,date,02 (02 ( 2023 .
515,MIT_605,presentaddress,"68 ( 803 , Ratti Zila , Farrukhqabad ,"
516,MIT_605,gender,Female .
517,MIT_605,bloodgroup,at
518,MIT_605,experience1,8 Years at Varty Samra and Bandi
519,MIT_605,qualification,PhD .
520,MIT_605,languageknown,"Kannada , Marathi ."
521,MIT_605,aadhaarcard,"89650100,000"
522,MIT_605,referencescmob2,Aarnav Dani - 7344540532
523,MIT_605,maritalstatus,married .
524,MIT_605,contactnumber,91 1/2.39555
525,MIT_605,AlternateNo,87 6 4.89 4.887
526,MIT_605,place,Shillong .
527,MIT_605,candidatename,Urvashi Bala .
528,MIT_605,referencescmob1,Anmol Vig - 9113305320 .
529,TCE_1203,nationality,Indian
530,TCE_1203,Dateofbirth,2/5 ( 1912 .
531,TCE_1203,Fatherhusbandname,Benjamin Samra .
532,TCE_1203,permanentaddress,"18-subramaniam zida , Ambassador -"
533,TCE_1203,experience,3 years at nail pass and Karen
534,TCE_1203,date,"off 14,023"
535,TCE_1203,presentaddress,"94 , Tata , Bangkok-681659"
536,TCE_1203,gender,Female .
537,TCE_1203,bloodgroup,AB -
538,TCE_1203,experience1,A years at Srivastara Group
539,TCE_1203,qualification,10th pass .
540,TCE_1203,languageknown,Bengali-Telugu
541,TCE_1203,referencescmob2,Vedika Mutti -9609191328
542,TCE_1203,maritalstatus,married .
543,TCE_1203,contactnumber,8419740590
544,TCE_1203,AlternateNo,83H 6092312 .
545,TCE_1203,place,Kolkata .
546,TCE_1203,candidatename,Pooja Samra .
547,TCE_1203,referencescmob1,Hemlangini comar -8-80911398
548,TCE_1247,nationality,Indian .
549,TCE_1247,Dateofbirth,6 ( 25 ( 1979 .
550,TCE_1247,Fatherhusbandname,Wriddlich Bala .
551,TCE_1247,permanentaddress,"36/ Chakrabart Mary , Darangere"
552,TCE_1247,experience,7 Years at Chopra Taggi and Aubani
553,TCE_1247,date,inf to ( as
554,TCE_1247,presentaddress,"41/45 , Thaker Zila , Delhi-568 825"
555,TCE_1247,gender,Male .
