,folder,file,pred_text,actual_text
30,MIT_207,qualification,Post-Graduate .,Post-Graduate
31,MIT_207,languageknown,"Tamil , Marathi , Kannada , Gujarati","Tamil, Marathi, Kannada, Gujarati"
32,MIT_207,aadhaarcard,6058350000000,606000000000.0
33,MIT_207,referencescmob2,Azaan konda - 7099460782,Azaan Konda - 7099460782
34,MIT_207,maritalstatus,married .,Married
35,MIT_207,contactnumber,9482883175,9482883175
36,MIT_207,AlternateNo,7.3240 52 lb .,7432405216
37,MIT_207,place,Ranche .,Ranchi
38,MIT_207,candidatename,Balvan Grande .,Balvan Garde
39,MIT_207,referencescmob1,Lucky Parikh - 8140922283,Lucky Parikh - 8140922283
40,MIT_484,nationality,Indian .,Indian
41,MIT_484,Dateofbirth,6/28 (1999 .,6/28/1999
42,MIT_484,Fatherhusbandname,Wahab Minhas,Wahab Minhas
43,MIT_484,permanentaddress,"H.NO. 148 , Sampath , Begugorai -3","H.No. 148, Sampath, Begusarai-826493"
44,MIT_484,experience,5 years at Ichalsa Brahmabkrati,5 years at Khalsa  Brahmbhatt and Sagar
45,MIT_484,date,01 ( 14 ) 2022 .,1/14/2022
46,MIT_484,presentaddress,"88 , chakra barti choooke , sambalpur","83, Chakrabarti Chowk, Sambalpur 737260"
47,MIT_484,gender,male,Male
48,MIT_484,bloodgroup,A F,A-
49,MIT_484,experience1,6 years at Pandya and son's,6 years at Pandya and Sons
50,MIT_484,qualification,Diploma .,Diploma
51,MIT_484,languageknown,"English , Tamil .","English, Tamil"
52,MIT_484,aadhaarcard,151 68 1000000,751687000000
53,MIT_484,referencescmob2,Mitali Hedge - 7789546909,Mitali Hegde - 7789546909
54,MIT_484,pancard,XIXS GO 726m.,XJXSG0726G
55,MIT_484,maritalstatus,single .,Single
56,MIT_484,contactnumber,9798573192 .,9798573192
57,MIT_484,AlternateNo,"72.8,680-89 .",7238680789
58,MIT_484,place,Huderabad .,Hyderabad
59,MIT_484,candidatename,Ethan Minhas .,Ethan Minhas
60,MIT_484,referencescmob1,Karan Das - 85149384IN .,Karan Das - 8514938414
61,MIT_101,nationality,Indian,Indian
62,MIT_101,Dateofbirth,2/11 ( 1983 .,2/14/1983
63,MIT_101,Fatherhusbandname,frado Moody .,Frado Mody
64,MIT_101,permanentaddress,"84187 , Dholiwal , Granette mayor - 4.28.39","84/87, Dhaliwal, Gandhinagar-420439"
65,MIT_101,experience,3 years at Sothe Phingra and Sastry,3 years at Sathe  Dhingra and Sastry
66,MIT_101,date,12 (19 ) 2024 .,12/19/2024
67,MIT_101,presentaddress,"11/039 , More Street , Twin Vottiger 4.3053 .","11/039, Mani Street, Tiruvottiyur 477053"
68,MIT_101,gender,Male,Male
69,MIT_101,bloodgroup,about .,AB+
70,MIT_101,experience1,7 years at Kour and Sons .,7 years at Kaur and Sons
71,MIT_101,qualification,Graduate .,Graduate
72,MIT_101,languageknown,"Tamil , Kannada","Tamil, Kannada"
73,MIT_101,aadhaarcard,502211800000,502000000000.0
74,MIT_101,referencescmob2,Ekolinga Romo - 9808111391 .,Ekalinga Rama - 9808111391
75,MIT_101,maritalstatus,Married .,Married
76,MIT_101,contactnumber,"9253 54,3 1 .",9253640631
77,MIT_101,AlternateNo,"99556 55,50",9955855850
78,MIT_101,place,Bengalum .,Bengaluru
79,MIT_101,candidatename,Advick Moody .,Advik Mody
80,MIT_101,referencescmob1,chotrush Shratt - 96752/6530 .,Chatresh Shroff - 9675216550
81,VIT_778,nationality,Indian .,Indian
82,VIT_778,Dateofbirth,9/24 ( 1964 .,9/24/1964
83,VIT_778,Fatherhusbandname,Chanakya Behl .,Chanakya Behl
84,VIT_778,permanentaddress,"22/42 , Taylor Path , Hospet-774575 .","22/42, Tailor Path, Hospet-774575"
85,VIT_778,experience,5 years at Bhat Merchant and Agorwal,5 years at Bhat  Merchant and Agarwal
86,VIT_778,date,to3/90 (2022 .,3/30/2022
87,VIT_778,presentaddress,"26jol , Sekhon Circle , Fatchpur-334225","26/01, Sekhon Circle, Fatehpur-334225"
88,VIT_778,gender,female .,Female
89,VIT_778,bloodgroup,ot,O+
90,VIT_778,experience1,I years at Karpe Upadhya and Krishna,1 years at Karpe  Upadhyay and Krishna
91,VIT_778,qualification,Diploma .,Diploma
92,VIT_778,languageknown,"Malayalam , English , Hindi , Tamil","Malayalam, English, Hindi, Tamil"
93,VIT_778,aadhaarcard,7874lbs000000 .0,787000000000.0
94,VIT_778,referencescmob2,Rachit Chander - 9206419266,Rachit Chander - 9206419266
95,VIT_778,pancard,VOX DB450P .,VOXDB4550P
96,VIT_778,maritalstatus,Married .,Married
97,VIT_778,contactnumber,8210 355 798 .,8210355798
98,VIT_778,AlternateNo,84107 02644 .,8410702644
99,VIT_778,place,Ranchi .,Ranchi
100,VIT_778,candidatename,Ekanta Behl .,Ekanta Behl
101,VIT_778,referencescmob1,nitesh chhabra - 9683345928,Nitesh Chhabra - 9683345928
102,MIT_587,nationality,Indian .,Indian
103,MIT_587,Dateofbirth,10/15/2006 .,10/15/2006
104,MIT_587,Fatherhusbandname,Ronith Bakshi .,Ronith Bakshi
105,MIT_587,permanentaddress,"H. No. 52 , Bhakta , Nagpur -600011","H.No. 52, Bhakta, Nagpur-600011"
106,MIT_587,experience,9 years at Guha Prabhakar and Loll,9 years at Guha  Prabhakar and Lall
107,MIT_587,date,or lobby 2022,07-06-2022
108,MIT_587,presentaddress,"H. No. 145 , Sunday North , Ashmednagan","H.No. 145, Sunder Path, Ahmednagar-427186"
109,MIT_587,gender,Male .,Male
110,MIT_587,bloodgroup,B. t .,B+
111,MIT_587,experience1,5 years at Mittal-Rattan .,5 years at Mittal-Rattan
112,MIT_587,qualification,Ph D .,PhD
113,MIT_587,languageknown,"Kannada , Hindi , Malayalam","Kannada, Hindi, Malayalam"
114,MIT_587,aadhaarcard,b57.39200000,657000000000.0
115,MIT_587,referencescmob2,Ethan Sagan-982-557-30,Ethan Sagar - 9825576830
116,MIT_587,maritalstatus,single .,Single
117,MIT_587,contactnumber,8965IM0584 .,8965170584
118,MIT_587,AlternateNo,80 61518 757 .,8061518757
119,MIT_587,place,Grangtok .,Gangtok
120,MIT_587,candidatename,Omkaal Bakshi .,Omkaar Bakshi
121,MIT_587,referencescmob1,Fiyaz Naxain 1948-9166-7,Fiyaz Narain - 9483916677
122,MIT_52,nationality,Indian .,Indian
123,MIT_52,Dateofbirth,8 ( 19 ( 1984 .,3/19/1984
124,MIT_52,Fatherhusbandname,Airik Chandry .,Girik Chaudry
125,MIT_52,permanentaddress,"H. No. ie. Dhalinal Path , Aungaon","H.No. 12, Dhaliwal Path, Gurgaon 966278"
126,MIT_52,experience,10 years at Hedge - Shankar .,10 years at Hegde-Shankar
127,MIT_52,date,or (29 ( 2025 .,7/29/2025
128,MIT_52,presentaddress,"69169 , Pall Zila , Buhampou - 499124","69/69, Pall Zila, Berhampore-499125"
129,MIT_52,gender,Female .,Female
130,MIT_52,bloodgroup,Ar,A-
131,MIT_52,experience1,2 years at Lais Ltd .,2 years at Lala Ltd
132,MIT_52,qualification,12th Pass .,12th Pass
133,MIT_52,languageknown,English . Telugu .,"English, Telugu"
134,MIT_52,aadhaarcard,48 (583000000,482000000000.0
135,MIT_52,referencescmob2,Logan Groves - 8584 )64234 .,Logan Grover - 8564164234
136,MIT_52,maritalstatus,Mounied .,Married
137,MIT_52,contactnumber,9251995/15 .,9251995115
138,MIT_52,AlternateNo,9988264876 .,9988264876
139,MIT_52,place,Orkendhinagar .,Gandhinagar
140,MIT_52,candidatename,Bhavika Chaudry .,Bhavika Chaudry
141,MIT_52,referencescmob1,Ojas Semi - 977326248 1 .,Ojas Suri - 9773262487
142,MIT_482,nationality,Indian .,Indian
143,MIT_482,Dateofbirth,2/11 ( 1971 .,2/11/1971
144,MIT_482,Fatherhusbandname,Aarnav Sangha .,Aarnav Sangha
145,MIT_482,permanentaddress,"26,655 , Bhodti , Morbi 253809 .","26/655, Bhatti, Morbi 253809"
146,MIT_482,experience,5 years at Vala-sani,5 years at Vala-Sani
147,MIT_482,date,03 ( 29 ( 2025 .,3/29/2025
148,MIT_482,presentaddress,"95.367 , Kilae chouke , chapra-297356 -","95/367, Kibe Chowk, Chapra-297356"
149,MIT_482,gender,Female .,Female
150,MIT_482,bloodgroup,lot,O+
151,MIT_482,experience1,I leaves at Hans-Loyal .,1 years at Hans-Loyal
152,MIT_482,qualification,12th pass .,12th Pass
153,MIT_482,languageknown,"Telugu , Tamil .","Telugu, Tamil"
154,MIT_482,aadhaarcard,852079000000,852079000000
155,MIT_482,referencescmob2,Amaisia solanki - 9089929940,Amaira Solanki - 9089929940
156,MIT_482,maritalstatus,I married,Married
157,MIT_482,contactnumber,9121552952 .,9121552952
158,MIT_482,AlternateNo,7938364959 .,7938364959
159,MIT_482,place,chandigarh .,Chandigarh
160,MIT_482,candidatename,Vaishnaki Sangha,Vaishnavi Sangha
161,MIT_482,referencescmob1,Omoja Mital - 7022088228,Omaja Mital - 7022088228
162,MIT_565,nationality,Indian .,Indian
163,MIT_565,Dateofbirth,7/31 1982 .,07-03-1982
164,MIT_565,Fatherhusbandname,wreddish mani .,Wriddhish Mani
165,MIT_565,permanentaddress,"87/8b , Hole Nagour , Berhampur-213170","87/86, Gole Nagar, Berhampur-213170"
166,MIT_565,experience,2 year 8 at Chhabra . Inc.,2 years at Chhabra Inc
167,MIT_565,date,09 04 ( 2023 .,09-04-2023
168,MIT_565,presentaddress,"M. No. H. Ahuga circle , Shahjahanpur","H.No. 42, Ahuja Circle, Shahjahanpur-642550"
169,MIT_565,gender,male .,Male
170,MIT_565,bloodgroup,abt .,AB+
171,MIT_565,experience1,I years at Venkatesh Anne and Kunda,1 years at Venkatesh  Anne and Kunda
172,MIT_565,qualification,10th pass .,10th Pass
173,MIT_565,languageknown,"Hindi , English","Hindi, English"
174,MIT_565,aadhaarcard,"81 336,00000",813000000000.0
175,MIT_565,referencescmob2,Southvik Deep -9578585219 .,Sathvik Deep - 9578535219
176,MIT_565,maritalstatus,single .,Single
177,MIT_565,contactnumber,7713 4.8750 .,7713428750
178,MIT_565,AlternateNo,999 6282276 .,9996282276
179,MIT_565,place,Thiswananthapuram,Thiruvananthapuram
180,MIT_565,candidatename,Om. Mani .,Om Mani
181,MIT_565,referencescmob1,Eshana Rattan - 7228373364,Eshana Rattan - 7228373364
182,TCE_1368,nationality,Indian .,Indian
183,TCE_1368,Dateofbirth,to last 1963 .,10/25/1963
184,TCE_1368,Fatherhusbandname,""" Foochan Mannan .",Farhan Mannan
185,TCE_1368,permanentaddress,"594 , Dhalimal Zila , Bangalore-567453","594, Dhaliwal Zila, Bangalore-567453"
186,TCE_1368,experience,2 years at Oommen and some,2 years at Oommen and Sons
187,TCE_1368,date,orfirst 2023 .,7/11/2023
188,TCE_1368,presentaddress,"H. No. 1997 , Singhal Nagar , Tedapalliguden","H.No. 997, Singhal Nagar, Tadepalligudem-513103"
189,TCE_1368,gender,Female .,Female
190,TCE_1368,bloodgroup,ove,O-
191,TCE_1368,experience1,I year at . Dutch Group,1 years at Dutt Group
192,TCE_1368,qualification,diploma .,Diploma
193,TCE_1368,languageknown,"Tarnil , English , trade .","Tamil, English, Hindi"
194,TCE_1368,referencescmob2,Zetaan Dugal -7854176899 .,Zehaan Dugal - 7854176899
195,TCE_1368,maritalstatus,Married .,Married
196,TCE_1368,contactnumber,944 4064 514 .,9444064514
197,TCE_1368,AlternateNo,86 4.5.306969 .,8645306969
198,TCE_1368,place,Mumbai,Mumbai
199,TCE_1368,candidatename,""" Washi Mannan .",Warhi Mannan
200,TCE_1368,referencescmob1,Vrighti Banik - 950402056 ),Vrishti Banik - 9304020561
201,TCE_1047,nationality,Indian .,Indian
202,TCE_1047,Dateofbirth,2/22 ( 1995 .,2/22/1995
203,TCE_1047,Fatherhusbandname,Jekaan Mani .,Zehaan Mani
204,TCE_1047,permanentaddress,"06 , Doshi circle , Nandyal 575610","06, Doshi Circle, Nandyal 575610"
205,TCE_1047,experience,6 years at Kashyap sandal Q yenkatesh,6 years at Kashyap  Sandal and Venkatesh
206,TCE_1047,date,"04 (071,2003 .",4/7/2023
207,TCE_1047,presentaddress,"H.NO-30 , Handa , Kulki-215173","H.No. 30, Handa, Kulti-215173"
208,TCE_1047,gender,nale .,Male
209,TCE_1047,bloodgroup,A.,A-
210,TCE_1047,experience1,8 years at Datta LLC,8 years at Datta LLC
211,TCE_1047,qualification,Diploma .,Diploma
212,TCE_1047,languageknown,"Tamil , Kannada .","Tamil, Kannada"
213,TCE_1047,referencescmob2,Animal Gaba - 86077 (604 .,Anmol Gaba - 8607716044
214,TCE_1047,maritalstatus,Married .,Married
215,TCE_1047,contactnumber,79347 25439,7934725439
216,TCE_1047,AlternateNo,8.749 89502,8274989502
217,TCE_1047,place,Brangtok .,Gangtok
218,TCE_1047,candidatename,Utkarsh Mani .,Utkarsh Mani
219,TCE_1047,referencescmob1,Farai Barrad - 89613 86273,Faraj Barad - 8961386273
220,MIT_233,nationality,Indian .,Indian
221,MIT_233,Dateofbirth,9/29 ( 1963 .,9/29/1963
222,MIT_233,Fatherhusbandname,Azaan Saha .,Azaan Saha
223,MIT_233,permanentaddress,"H.NO. 1/2 , Greenal zila , Gurdivada 20357 ,","H.No. 112, Grewal Zila, Gudivada 203571"
224,MIT_233,experience,4 year at Thaker and Sons .,4 years at Thaker and Sons
225,MIT_233,date,10/19 ( 2025 .,10/19/2025
226,MIT_233,presentaddress,"HONO.93 , Root circle , Delhi-485157","H.No. 93, Rout Circle, Delhi-485157"
227,MIT_233,gender,Female .,Female
228,MIT_233,bloodgroup,Abt .,AB+
229,MIT_233,experience1,7 year at Luke chacko and opera,7 years at Loke  Chacko and Gera
230,MIT_233,qualification,Post-Graduate .,Post-Graduate
231,MIT_233,languageknown,"Kannada , Marathi , malayalam , Bengali","Kannada, Marathi, Malayalam, Bengali"
232,MIT_233,aadhaarcard,223696000000,224000000000.0
233,MIT_233,referencescmob2,Dayita Bena - 9780203652,Dayita Bera - 9780203652
234,MIT_233,maritalstatus,single .,Single
235,MIT_233,contactnumber,9565864482,9565864482
236,MIT_233,AlternateNo,728898915 .,7238898915
237,MIT_233,place,Kavaratti .,Kavaratti
238,MIT_233,candidatename,Tamanna Saha .,Tamanna Saha
239,MIT_233,referencescmob1,Darika Halder-9020997208,Darika Halder - 9020997208
240,TCE_1073,nationality,Indian .,Indian
241,TCE_1073,Dateofbirth,614 ( 2003 .,6/4/2003
242,TCE_1073,Fatherhusbandname,Pshoun Dhaliwal,Ishaan Dhaliwal
243,TCE_1073,permanentaddress,"57, Sarkas , Road , British 1815645","57, Sarkar Road, Bettiah 785645"
244,TCE_1073,experience,5 years at Subramaniam - Pau,5 years at Subramaniam-Pau
245,TCE_1073,date,""" 1 (23 ) 20-24 .",11/23/2024
246,TCE_1073,presentaddress,"85 , Grewal Ganj , Bhiwandi Suzlesg .","85, Grewal Ganj, Bhiwandi 842689"
247,TCE_1073,gender,Male .,Male
248,TCE_1073,bloodgroup,at,A+
249,TCE_1073,experience1,2 years at Swamp - Son :,2 years at Swamy-Soni
250,TCE_1073,qualification,post-graduate .,Post-Graduate
251,TCE_1073,languageknown,"Kannada , English , Gujarati , Telugu","Kannada, English, Gujarati, Telugu"
252,TCE_1073,referencescmob2,Saumya Khurama - 8992602893 .,Saumya Khurana - 8992662893
253,TCE_1073,maritalstatus,single .,Single
254,TCE_1073,contactnumber,860-77bbbb36 .,8607766636
255,TCE_1073,AlternateNo,77 5 (77948 ) .,7751779481
256,TCE_1073,place,Bhopal,Bhopal
257,TCE_1073,candidatename,Oropal Phaliwal .,Gopal Dhaliwal
258,TCE_1073,referencescmob1,Premuel Malhotra - 80093b2234 .,Praneel Malhotra - 8609362234
259,TCE_1390,nationality,Indian,Indian
260,TCE_1390,Dateofbirth,"5 ( 3,2000 .",5/30/2000
261,TCE_1390,Fatherhusbandname,Chatura Maclan,Chatura Madan
262,TCE_1390,permanentaddress,"19/11 , Sindw , Batuinala 4.3108 .","19/17, Sidhu, Bathinda 973108"
263,TCE_1390,experience,6 years at Marie Ltd .,6 years at Manne Ltd
264,TCE_1390,date,"""3 ( 2 .",1/31/2022
265,TCE_1390,presentaddress,77 ) 1993 . Bain Circle . Sultan pur majra .,"77/993, Bahl Circle, Sultan Pur Majra-130376"
266,TCE_1390,gender,Male .,Male
267,TCE_1390,bloodgroup,0-,O-
268,TCE_1390,experience1,"3 years at Savant - Sami""",3 years at Savant-Sami
269,TCE_1390,qualification,cloth pass .,10th Pass
270,TCE_1390,languageknown,"English , Malayalam , Kannada , Bengali","English, Malayalam, Kannada, Bengali"
271,TCE_1390,referencescmob2,hedant Sami - 8 400698 3-5,Vedant Sami - 8400698345
272,TCE_1390,maritalstatus,married .,Married
273,TCE_1390,contactnumber,207772976 ) .,7177219761
274,TCE_1390,AlternateNo,a bitaatuous .,9617997404
275,TCE_1390,place,Dehraelum .,Dehradun
276,TCE_1390,candidatename,Anthony Macdan .,Anthony Madan
277,TCE_1390,referencescmob1,Oscale Sures - 95050779 (,Oscar Sura - 9550779911
278,TCE_1039,nationality,Phelian .,Indian
279,TCE_1039,Dateofbirth,# 29 ( 1986 .,3/29/1986
280,TCE_1039,Fatherhusbandname,Ekavin Sachdeuca .,Ekavir Sachdeva
281,TCE_1039,permanentaddress,"286 , Uppal Road , Arkakulam 861462 .","266, Uppal Road, Srikakulam 861462"
282,TCE_1039,experience,Express at Sangha-yaadaw .,5 years at Sangha-Yadav
283,TCE_1039,date,12 (18 ( 2020-,12/18/2024
284,TCE_1039,presentaddress,"63frib , postal mang , Tadi patti 23A4923 .","63/776, Patel Marg, Tadipatri 234423"
285,TCE_1039,gender,Female .,Female
286,TCE_1039,bloodgroup,abt .,AB+
287,TCE_1039,experience1,Byears at Pathakmann and Munothy,3 years at Pathak  Mannan and Murthy
288,TCE_1039,qualification,diploma .,Diploma
289,TCE_1039,languageknown,"Madayalam , Manathi , Louisiana","Malayalam, Marathi, Gujarati"
290,TCE_1039,referencescmob2,Ponagan Prasad - 76835/9493 .,Darpan Prasad - 7683519693
291,TCE_1039,maritalstatus,manned .,Married
292,TCE_1039,contactnumber,9.89655359,9789655354
293,TCE_1039,AlternateNo,7034993400 .,7034993410
294,TCE_1039,place,Kohima,Kohima
295,TCE_1039,candidatename,Rajata Sachdova .,Rajata Sachdeva
296,TCE_1039,referencescmob1,Nether Kamdan-90558 T1533 .,Netra Kamdar - 9065877533
297,TCE_1465,nationality,Indian .,Indian
298,TCE_1465,Dateofbirth,4 ) in (1998 .,4/17/1998
299,TCE_1465,Fatherhusbandname,Hitesh Surra,Hitesh Sura
300,TCE_1465,permanentaddress,"36,059 Divan Chawk , Hospe","36/05, Divan Chowk, Hospet 115676"
301,TCE_1465,experience,6 years at Kando,6 years at Kanda-Vaidya
302,TCE_1465,date,02 ( 2013 .,2/20/2023
303,TCE_1465,presentaddress,"841660 , Bal , Bathinda-490333","84/660, Bal, Bathinda-490333"
304,TCE_1465,gender,Female,Female
305,TCE_1465,bloodgroup,# Far,O-
306,TCE_1465,experience1,4 years at Honda . Aurora,4 years at Handa-Aurora
307,TCE_1465,qualification,( Post-Graduate,Post-Graduate
308,TCE_1465,languageknown,"Kannada , Tamil","Kannada, Tamil"
309,TCE_1465,referencescmob2,Tagrati Wali-902624075,Jagrati Wali - 9026247075
310,TCE_1465,maritalstatus,married .,Married
311,TCE_1465,contactnumber,749 11 04458,7491104458
312,TCE_1465,place,Delhi .,Delhi
313,TCE_1465,candidatename,Daksha Scera .,Daksha Sura
314,TCE_1465,referencescmob1,"Wazir Thakkar- 8,00057,049 .",Wazir Thakkar - 8060571049
315,TCE_1266,nationality,Indian,Indian
316,TCE_1266,Dateofbirth,8 ( 05 ( 1983 .,8/5/1983
317,TCE_1266,Fatherhusbandname,Mason Chowdhury,Mason Chowdhury
318,TCE_1266,permanentaddress,"H.NO : 15 , Bhavasar Street ,","H.No. 15, Bhavsar Street, Jodhpur 387300"
319,TCE_1266,experience,9 years at Bose Plc.,9 years at Bose PLC
320,TCE_1266,date,08 ( 11 ( 2025 .,8/11/2025
321,TCE_1266,presentaddress,"143' sonipade - 4.26, 89 .","743, Borde Marg, Sonipat 426189"
322,TCE_1266,gender,female .,Female
323,TCE_1266,bloodgroup,0 #,O+
324,TCE_1266,experience1,3 years at Srinivasan Ple-,3 years at Srinivasan PLC
325,TCE_1266,qualification,Diploma .,Diploma
326,TCE_1266,languageknown,"Gumajati , Marathi , Huischi , Malayalam","Gujarati, Marathi, Hindi, Malayalam"
327,TCE_1266,referencescmob2,Yashasi Sawkney - 86 357794029,Yashasvi Sawhney - 8635779429
328,TCE_1266,maritalstatus,Married .,Married
329,TCE_1266,contactnumber,82.5.2.2.237 .,8252492237
330,TCE_1266,AlternateNo,"955 lb 4/820,000 .",9556482040
331,TCE_1266,place,Hyder Abad,Hyderabad
332,TCE_1266,candidatename,Sanya Chowdhury .,Sanya Chowdhury
333,TCE_1266,referencescmob1,Balvan Keer - 9bupp 8013 b7 .,Balvan Keer - 9644801367
334,TCE_1174,nationality,Indian,Indian
335,TCE_1174,Dateofbirth,10 ( 1978 .,10/1/1978
336,TCE_1174,Fatherhusbandname,diram kaul .,Liam Kaul
337,TCE_1174,permanentaddress,"Hazaribagh than circle ,","H.No. 98, Dhar Circle, Hazaribagh 443373"
338,TCE_1174,experience,I years at Audhu' Onrovers,1 years at Sidhu-Grover
339,TCE_1174,date,12704 ( 2024 .,12/4/2024
340,TCE_1174,presentaddress,Hano'siest-shift-3304-4 .,"H.No. 51, Shroff Path, Chandrapur-330434"
341,TCE_1174,gender,female .,Female
342,TCE_1174,bloodgroup,AB -,AB-
343,TCE_1174,experience1,3 years at Saha-Issac-,3 years at Saha-Issac
344,TCE_1174,qualification,12th pass .,12th Pass
345,TCE_1174,languageknown,"Hindi's Telugu , Bengali , Gujarati","Hindi, Telugu, Bengali, Gujarati"
346,TCE_1174,referencescmob2,Ansh Korean - 8 37039942 .,Ansh Karan - 8370399942
347,TCE_1174,maritalstatus,turn old .,Single
348,TCE_1174,contactnumber,94 68 68155,9468681555
349,TCE_1174,AlternateNo,93 9.8688G.,9398868869
350,TCE_1174,place,chandigarh,Chandigarh
351,TCE_1174,candidatename,Sara Kaul .,Sara Kaul
352,TCE_1174,referencescmob1,Adlya. Apte-930073907 : .,Adya Apte - 9300739071
353,MIT_274,nationality,Indian,Indian
354,MIT_274,Dateofbirth,16/811963 .,6/8/1963
355,MIT_274,Fatherhusbandname,Owinder Talk,Orinder Tak
356,MIT_274,permanentaddress,"11 , Rail Path , Madhyangram 226602","77, Rau Path, Madhyamgram 226602"
357,MIT_274,experience,5 years at Sani Buck and Selgal,5 years at Sani  Buch and Sehgal
358,MIT_274,date,08 (26 (2023 .,8/26/2023
359,MIT_274,presentaddress,"451 15 , Prabbakas Chowle , Dewas 583392","45/75, Prabhakar Chowk, Dewas 583392"
360,MIT_274,gender,male .,Male
361,MIT_274,bloodgroup,out,O+
362,MIT_274,experience1,10 years at Chakrabadi LLC .,10 years at Chakrabarti LLC
363,MIT_274,qualification,Diplomat .,Diploma
364,MIT_274,languageknown,"Gujarati , Malayalam .","Gujarati, Malayalam"
365,MIT_274,aadhaarcard,786053000000,786053000000
366,MIT_274,referencescmob2,Jarmit Atwal -8591526207,Jasmit Atwal - 8597526207
367,MIT_274,maritalstatus,I married,Married
368,MIT_274,contactnumber,96949195955,9694919955
369,MIT_274,AlternateNo,758154674 .,7581544674
370,MIT_274,place,I Lucknow .,Lucknow
371,MIT_274,candidatename,Azad Takir,Azad Tak
372,MIT_274,referencescmob1,Lakshmi Dixit -7899277060 .,Lakshmi Dixit - 7899277060
373,TCE_1157,nationality,Indian .,Indian
374,TCE_1157,Dateofbirth,10/10 ( 1980 .,10/10/1980
375,TCE_1157,Fatherhusbandname,Yatan Grupta .,Yatan Gupta
376,TCE_1157,permanentaddress,"HINDICT , Abluwalia chawk ,","H.No. 97, Ahluwalia Chowk, Rampur-140654"
377,TCE_1157,experience,2years at Muni Dugal and Kadakia,2 years at Muni  Dugal and Kadakia
378,TCE_1157,date,01 ( 03 ( 2024 .,1/3/2024
379,TCE_1157,presentaddress,"66 , Kohle Grang , Udaipur - A11541","66, Kohli Ganj, Udaipur-911541"
380,TCE_1157,gender,Male .,Male
381,TCE_1157,bloodgroup,Bt .,B+
382,TCE_1157,experience1,a years at Tharkur Ltd .,9 years at Thakur Ltd
383,TCE_1157,qualification,Graduate .,Graduate
384,TCE_1157,languageknown,"Bengali , Hindi","Bengali, Hindi"
385,TCE_1157,referencescmob2,Pratyush Samra - 765552698 3,Pratyush Samra - 7655526983
386,TCE_1157,maritalstatus,Married .,Married
387,TCE_1157,contactnumber,"859 ,58 ) .",8592514281
388,TCE_1157,AlternateNo,88 3306 9.2 .,8833062932
389,TCE_1157,place,Gangtok .,Gangtok
390,TCE_1157,candidatename,Yuvaraj Gupta .,Yuvraj Gupta
391,TCE_1157,referencescmob1,Mekhala Pandit -965767645,Mekhala Pandit - 9657675645
392,MIT_200,nationality,Indian,Indian
393,MIT_200,Dateofbirth,3 (1966 .,03-05-1966
394,MIT_200,Fatherhusbandname,Rohan Johnal .,Rohan Johal
395,MIT_200,permanentaddress,"4Y39 , was on Nagar . Kadapa 351305","41/39, Wason Nagar, Kadapa 351305"
396,MIT_200,experience,6 years at Bains - Sachdev,6 years at Bains-Sachdev
397,MIT_200,date,09/15 ( 2024 .,9/15/2024
